"nome_fantasia","data_inicio_atividades","cnae_fiscal","cep","municipio","porte","dist_1","dist_2","dist_3","dist_4"
"A & B RECICLAGEM","20090902","4785799","43700971","3913","1","NaN","NaN","NaN","NaN"
"A & J CARGAS","20010816","4930202","43700000","3913","1","NaN","NaN","NaN","NaN"
"A & L MAGAZINE","19980202","4782201","46200000","3473","1","NaN","NaN","NaN","NaN"
"A A BRITO REPRESENTACOES DE MATERIAL DE CONSTRUCOES","20080303","4619200","46900000","3897","1","NaN","NaN","NaN","NaN"
"A A P R","19981127","9430800","45650780","3573","5","NaN","NaN","NaN","NaN"
"A B IMPORTADOS","19980401","4755502","48970000","3901","1","NaN","NaN","NaN","NaN"
"A BAHIA","20010417","4784900","45870000","3719","1","NaN","NaN","NaN","NaN"
"A BARATINHA","20070802","4713002","46790000","3601","1","NaN","NaN","NaN","NaN"
"A BARATINHA CONFECCOES","20051031","4781400","45600221","3597","1","NaN","NaN","NaN","NaN"
"A BENCAO","20040818","9430800","42804590","3413","5","NaN","NaN","NaN","NaN"
"A BICICLETA","19920630","4763603","42827702","3413","1","NaN","NaN","NaN","NaN"
"A BIOQUIMIKA FARMACIA DE MANIPULACAO","20050621","4771702","41800700","3849","1","NaN","NaN","NaN","NaN"
"A C A F A D","19990517","9430800","48790000","3937","5","NaN","NaN","NaN","NaN"
"A C ATACADO DE CIMENTO","20090911","4744099","47400000","3971","1","NaN","NaN","NaN","NaN"
"A C B C","19990426","9430800","46820000","3265","5","NaN","NaN","NaN","NaN"
"A C C","20010522","9430800","48700000","3909","5","NaN","NaN","NaN","NaN"
"A C C","19951227","9430800","48750000","3823","5","NaN","NaN","NaN","NaN"
"A C M","19961206","9430800","47520000","3565","5","NaN","NaN","NaN","NaN"
"A C P ENGENHARIA","19980119","7112000","41820020","3849","1","NaN","NaN","NaN","NaN"
"A CACULA CONFECCOES","19850510","4781400","45200005","3661","1","NaN","NaN","NaN","NaN"
"A CAMPONESA","20020729","4789099","45400000","3957","3","NaN","NaN","NaN","NaN"
"A CAMPONESA","20080815","4789099","46990000","3915","1","NaN","NaN","NaN","NaN"
"A CANTAINA","20140526","5611201","48904140","3669","1","NaN","NaN","NaN","NaN"
"A CASA DO CRIADOR","20051027","4771704","44695000","3083","1","NaN","NaN","NaN","NaN"
"A CENTRAL COMERCIO E SERVICOS","20100129","4744099","47990000","3521","1","NaN","NaN","NaN","NaN"
"A COMERCIAL JOIAS","19730919","4783101","46100000","3391","1","NaN","NaN","NaN","NaN"
"A COMPAT","20010618","9430800","44700000","3651","5","NaN","NaN","NaN","NaN"
"A COMUNIDADE RESTAURANDO VIDAS","20120307","9430800","45065170","3965","5","NaN","NaN","NaN","NaN"
"A CONQUISTADORA","19820712","4744099","45540000","3529","1","NaN","NaN","NaN","NaN"
"A CONSTRUCENTER METALURGICA","19860925","4687703","44110000","3515","1","NaN","NaN","NaN","NaN"
"A CONSTRUTORA","20090924","4744099","44245000","3469","3","NaN","NaN","NaN","NaN"
"A D C A S S Q","20051130","9430800","48565000","3043","5","NaN","NaN","NaN","NaN"
"A DISBAL","19940816","4754701","44635000","3997","5","NaN","NaN","NaN","NaN"
"A E L COMERCIO E SERVICOS","20100518","9511800","41181100","3849","1","NaN","NaN","NaN","NaN"
"A F CVONSTRUCOES","20100705","4330405","48760000","3341","1","NaN","NaN","NaN","NaN"
"A F MATERIAIS DE CONSTRUCAO","20090910","4744001","46100000","3391","1","NaN","NaN","NaN","NaN"
"A F P M M","19840606","9420100","44630000","3703","5","NaN","NaN","NaN","NaN"
"A FAZENDINHA PRODUTOS VETERINARIOS","19941010","4771704","48180000","3509","1","NaN","NaN","NaN","NaN"
"A FEIRITA DISTRIBUIDORA","20000113","4646002","44330000","3885","3","NaN","NaN","NaN","NaN"
"A FITA CONFECCOES","20070706","1414200","44020000","3515","1","NaN","NaN","NaN","NaN"
"A FORMULA","20040706","4771702","44075425","3515","3","NaN","NaN","NaN","NaN"
"A FORMULA","19881021","4771702","40070045","3849","5","NaN","NaN","NaN","NaN"
"A FORMULA","20011109","4771702","45653540","3573","3","NaN","NaN","NaN","NaN"
"A FORMULA","20070822","4771702","44700000","3651","3","NaN","NaN","NaN","NaN"
"A FORTIORI","19930903","1412601","46400000","3403","3","NaN","NaN","NaN","NaN"
"A FUNERARIA","19770201","4774100","45400000","3957","1","NaN","NaN","NaN","NaN"
"A G COMERCIAL DE ALIMENTOS E BEBIDAS","20020201","4729699","43900000","3883","1","NaN","NaN","NaN","NaN"
"A G MELLO REPRESENTACOES","20100621","4617600","45604030","3597","1","NaN","NaN","NaN","NaN"
"A G SERVICOS","20100525","4399199","45658630","3573","1","NaN","NaN","NaN","NaN"
"A GRACIOSA","20091218","4789001","47800130","3363","1","NaN","NaN","NaN","NaN"
"A GURILANDIA","19940119","4763601","48005180","3313","1","NaN","NaN","NaN","NaN"
"A IDEAL MODAS","19930201","4755501","45700000","3629","3","NaN","NaN","NaN","NaN"
"A IGREJA EM BARREIRAS","19981215","9491000","47801050","3363","5","NaN","NaN","NaN","NaN"
"A J REPRESENTACOES","19920514","4530706","45075075","3965","1","NaN","NaN","NaN","NaN"
"A L MERCADINHO","20100303","4712100","45640000","3317","1","NaN","NaN","NaN","NaN"
"A L O S SERVICOS","20080125","3702900","48760000","3341","1","NaN","NaN","NaN","NaN"
"A L S CELEULARES","20081014","4752100","44002000","3515","1","NaN","NaN","NaN","NaN"
"A M A","19880310","8711502","48730000","3467","5","NaN","NaN","NaN","NaN"
"A M E","20031024","9430800","48540000","3663","5","NaN","NaN","NaN","NaN"
"A M K","19940209","9430800","45325000","3385","5","NaN","NaN","NaN","NaN"
"A M MATERIAL DE CONSTRUCAO","19920117","4530706","43700000","3913","1","NaN","NaN","NaN","NaN"
"A M V M","19900903","8711502","43900000","3883","5","NaN","NaN","NaN","NaN"
"A MINEIRINHA","19971201","4754701","46750000","3739","3","NaN","NaN","NaN","NaN"
"A MIRASSOL MATERIAIS DE CONSTRUCAO","19930922","4744099","46430000","3533","1","NaN","NaN","NaN","NaN"
"A MISCELANIA ARMARINHO","19910206","4755502","40301155","3849","1","NaN","NaN","NaN","NaN"
"A MONARA","19890201","4753900","45450000","3523","1","NaN","NaN","NaN","NaN"
"A NATURAL","20010308","4789099","44695000","3083","1","NaN","NaN","NaN","NaN"
"A NONA","20040217","4755502","44001760","3515","3","NaN","NaN","NaN","NaN"
"A NOSSA DENTAL","20010809","4789099","45600010","3597","1","NaN","NaN","NaN","NaN"
"A P M (ASSOCIACAO DE PAIS E MESTRES DAS ESCOLAS","20031013","9430800","45452000","3009","5","NaN","NaN","NaN","NaN"
"A P P ASSOCIACAO DE PAIS E PROFESSORES","19990428","9430800","45740000","3519","5","NaN","NaN","NaN","NaN"
"A P P DE LEITE DE PALMEIRA E REGIAO","20071211","162899","44720000","3725","5","NaN","NaN","NaN","NaN"
"A P P R V - ASSOCIACAO","20070520","9499500","48110000","3449","5","NaN","NaN","NaN","NaN"
"A PANELA","20021220","4759899","41330020","3849","1","NaN","NaN","NaN","NaN"
"A PARCERIA CONSULT LTDA","20020130","6920601","45650025","3573","1","NaN","NaN","NaN","NaN"
"A PEDRA MISSELANIA","19871110","4744099","45725000","3857","1","NaN","NaN","NaN","NaN"
"A PONTUAL","19861009","2593400","46980000","3589","1","NaN","NaN","NaN","NaN"
"A POPULAR","20010911","4781400","45630000","3611","1","NaN","NaN","NaN","NaN"
"A POPULAR","19970102","4744005","45836000","3613","1","NaN","NaN","NaN","NaN"
"A PREDILETA","19860109","4759899","46880000","3595","1","NaN","NaN","NaN","NaN"
"A PRIMORDIAL","19771122","8230001","40060001","3849","5","NaN","NaN","NaN","NaN"
"A PRINCIPAL DOS TECIDOS","19940222","4781400","48970000","3901","3","NaN","NaN","NaN","NaN"
"A R C REPRESENTACOES","19920408","8130300","41100000","3849","1","NaN","NaN","NaN","NaN"
"A ROCA","19870127","4744005","45545000","3943","1","NaN","NaN","NaN","NaN"
"A S A MONTAGEM INDUSTRIAL","19991129","3321000","42800030","3413","5","NaN","NaN","NaN","NaN"
"A S ANDRESA DE SA FOTO & IMAGEM DIGITAL","20080602","7420004","41820000","3849","1","NaN","NaN","NaN","NaN"
"A S C O M","19880506","9430800","44895000","3075","5","NaN","NaN","NaN","NaN"
"A S CO B E C A N","20110829","9430800","48780000","3371","5","NaN","NaN","NaN","NaN"
"A S CONSTRUCOES","19790928","4120400","44020412","3515","5","NaN","NaN","NaN","NaN"
"A S CONSTRUTORA","20120330","4399103","47700000","3865","5","NaN","NaN","NaN","NaN"
"A S F L A M","20030808","9312300","41745130","3849","5","NaN","NaN","NaN","NaN"
"A SERTANEJA","19830905","4771704","46880000","3595","3","NaN","NaN","NaN","NaN"
"A SIMPATIA","19880610","9430800","46825000","3681","5","NaN","NaN","NaN","NaN"
"A SOLUCAO","19990211","4742300","44020122","3515","3","NaN","NaN","NaN","NaN"
"A SORTE E SUA","20040818","8299706","48520000","3085","1","NaN","NaN","NaN","NaN"
"A SOS MATERIAIS HOSPITALARES","20060327","4773300","40070055","3849","1","NaN","NaN","NaN","NaN"
"A T R I B COMERCIO E SERVICOS","20020307","4751201","48700000","3909","1","NaN","NaN","NaN","NaN"
"A TERAPEUTICA","19980618","4771702","40296210","3849","3","NaN","NaN","NaN","NaN"
"A TRIBO","20090831","4782201","44002034","3515","3","NaN","NaN","NaN","NaN"
"A U C B","20110505","9499500","46820000","3265","5","NaN","NaN","NaN","NaN"
"A VITORIA","20050310","4321500","44090640","3515","1","NaN","NaN","NaN","NaN"
"A Z CALCADOS","20040920","4782201","46760000","3543","1","NaN","NaN","NaN","NaN"
"A-ASOCOPO","19970523","9430800","47700000","3865","5","NaN","NaN","NaN","NaN"
"A. J. DISTRIBUIDORA","20120611","4619200","44900000","3593","1","NaN","NaN","NaN","NaN"
"A. K. C. V.","19991115","8591100","48890000","3959","5","NaN","NaN","NaN","NaN"
"A. L. B. A. CONFECCOES","20101203","4781400","40221220","3849","1","NaN","NaN","NaN","NaN"
"A. L. DISTRIBUIDORA","20040519","4772500","48750000","3823","1","NaN","NaN","NaN","NaN"
"A. M. E.","20110408","9430800","44380000","3495","5","NaN","NaN","NaN","NaN"
"A. S. EMPREENDIMENTOS","19951214","4744099","46600000","3919","3","NaN","NaN","NaN","NaN"
"A. SA TOUR","19990630","7020400","40296340","3849","1","NaN","NaN","NaN","NaN"
"A. V. MEDICINA","20100517","8640207","44571031","3873","3","NaN","NaN","NaN","NaN"
"A.B.C.P.A.S.N","20091013","9430800","48760000","3341","5","NaN","NaN","NaN","NaN"
"A.B.R.C.J.","19990823","9430800","48770000","3929","5","NaN","NaN","NaN","NaN"
"A.C. TECH","20070427","4751201","41181057","3849","1","NaN","NaN","NaN","NaN"
"A.C.A.M.S","20000822","9430800","48905350","3669","5","NaN","NaN","NaN","NaN"
"A.C.C","19981001","9430800","48750000","3823","5","NaN","NaN","NaN","NaN"
"A.C.M.","19980302","9430800","48750000","3823","5","NaN","NaN","NaN","NaN"
"A.C.M.D.I","20110622","9430800","45255000","3297","5","NaN","NaN","NaN","NaN"
"A.C.R.P","19990820","9430800","48790000","3937","5","NaN","NaN","NaN","NaN"
"A.C.REPRESENTACOES","20020920","4617600","48030640","3313","1","NaN","NaN","NaN","NaN"
"A.C.U.T","20080508","9499500","44905000","3973","5","NaN","NaN","NaN","NaN"
"A.D.L. ASSOCIACAO DESPORTIVA LUSACA","20070910","9312300","42850000","3087","5","NaN","NaN","NaN","NaN"
"A.D.U.R.","20050524","9319101","47100000","3353","5","NaN","NaN","NaN","NaN"
"A.F.F. REPRESENTACOES DE PRODUTOS ALIMENTICIOS LTDA","20070718","4617600","48450000","3457","1","NaN","NaN","NaN","NaN"
"A.M. MATERIAIS DE CONSTRUCAO","20110329","4744002","42820971","3413","1","NaN","NaN","NaN","NaN"
"A.M.J.","19970413","9430800","45310000","3941","5","NaN","NaN","NaN","NaN"
"A.M.M","19971219","9430800","41900475","3849","5","NaN","NaN","NaN","NaN"
"A.N. PROCESSAMENTO DE DADOS","19980831","6311900","41920260","3849","1","NaN","NaN","NaN","NaN"
"A.P DE OLIVEIRA","20080130","4729699","47850000","1112","1","NaN","NaN","NaN","NaN"
"A.P.M","19970620","9430800","45848000","3279","5","NaN","NaN","NaN","NaN"
"A.P.M.E.L.H.K","20000313","9430800","45460000","3969","5","NaN","NaN","NaN","NaN"
"A.P.M.E.M.A.S","20000313","9430800","45460000","3969","5","NaN","NaN","NaN","NaN"
"A.P.M.E.S.L","20000313","9430800","45460000","3969","5","NaN","NaN","NaN","NaN"
"A.P.P.M.E.U","20000313","9430800","45460000","3969","5","NaN","NaN","NaN","NaN"
"A.P.R.T.","20000509","9430800","45930000","3741","5","NaN","NaN","NaN","NaN"
"A.R. MULTI SERVICOS","20030509","7732201","44092734","3515","1","NaN","NaN","NaN","NaN"
"A.R.A","19991104","9430800","47200000","3821","5","NaN","NaN","NaN","NaN"
"A.R.C.A","19970901","9430800","45615000","3393","5","NaN","NaN","NaN","NaN"
"A.R.W . PECAS","20060517","4530703","48890000","3959","3","NaN","NaN","NaN","NaN"
"A.S.G.","20000920","9430800","44570535","3873","5","NaN","NaN","NaN","NaN"
"A.T.C.","19971215","9430800","44940000","3451","5","NaN","NaN","NaN","NaN"
"A.T.R.T.B","20041229","9430800","46820000","3265","5","NaN","NaN","NaN","NaN"
"A&C INFORTECH","20110930","9511800","40370560","3849","1","NaN","NaN","NaN","NaN"
"A&C INSTALACOES E COMERCIO LTDA","20100617","4520005","41500660","3849","1","NaN","NaN","NaN","NaN"
"A&FF MERCADINHO","20110707","4712100","44200000","3871","1","NaN","NaN","NaN","NaN"
"A+ MEDICINA DIAGNOSTICA","20090827","8640202","40260000","3849","5","NaN","NaN","NaN","NaN"
"A2 CORRETORA DE SEGUROS","20110311","6622300","48031070","3313","1","NaN","NaN","NaN","NaN"
"A3 ESTAGIO","20060908","7020400","41820021","3849","1","NaN","NaN","NaN","NaN"
"A4 AGRICOLA E PECUARIA","20110114","151201","45995971","3993","5","NaN","NaN","NaN","NaN"
"A4 AGRICOLA E PECUARIA","20110114","151201","45840000","3535","5","NaN","NaN","NaN","NaN"
"A4 AGRICOLA E PECUARIA","20110114","151201","45840000","3535","5","NaN","NaN","NaN","NaN"
"A5 ENTRETENIMENTO","20050125","7311400","41820908","3849","5","NaN","NaN","NaN","NaN"
"AA LAGOA DA VACA","20010207","9430800","48430000","3777","5","NaN","NaN","NaN","NaN"
"AABANEB","19770418","9312300","45650780","3573","5","NaN","NaN","NaN","NaN"
"AABB","19801219","9312300","45800000","3367","5","NaN","NaN","NaN","NaN"
"AABB","19720530","9312300","45605130","3597","5","NaN","NaN","NaN","NaN"
"AABB","19770405","9312300","46100000","3391","5","NaN","NaN","NaN","NaN"
"AABB","19771117","9319199","45970000","3621","5","NaN","NaN","NaN","NaN"
"AABB","19780904","9312300","44720000","3725","5","NaN","NaN","NaN","NaN"
"AABB","19690327","9312300","48970000","3901","5","NaN","NaN","NaN","NaN"
"AABB","19710628","9312300","48700000","3909","5","NaN","NaN","NaN","NaN"
"AABB","19780412","9312300","45545000","3943","5","NaN","NaN","NaN","NaN"
"AABB","19791123","9312300","46200000","3473","5","NaN","NaN","NaN","NaN"
"AABB","19800710","9312300","45580000","3559","5","NaN","NaN","NaN","NaN"
"AABBI","20030513","9430800","45570000","3579","5","NaN","NaN","NaN","NaN"
"AACACEMN","20000331","9430800","45960000","3723","5","NaN","NaN","NaN","NaN"
"AACG","20100628","9412099","44750000","3409","5","NaN","NaN","NaN","NaN"
"AACMC","19990716","9430800","43805970","3429","5","NaN","NaN","NaN","NaN"
"AACOSA","20000406","9430800","48435000","3253","5","NaN","NaN","NaN","NaN"
"AACOSNOT","19990203","9430800","48455000","3015","5","NaN","NaN","NaN","NaN"
"AACP","20060327","9430800","44910000","3071","5","NaN","NaN","NaN","NaN"
"AACSI","20011004","9430800","45700000","3629","5","NaN","NaN","NaN","NaN"
"AACSJ","20030403","8650099","48310000","3659","5","NaN","NaN","NaN","NaN"
"AACSMO","19980123","9430800","44718000","3017","5","NaN","NaN","NaN","NaN"
"AACSN","19990115","9430800","48870000","3979","5","NaN","NaN","NaN","NaN"
"AAFAM-CAATINGA","20140513","9430800","48920000","3669","5","NaN","NaN","NaN","NaN"
"AAFCC","20110808","9430800","45880000","3411","5","NaN","NaN","NaN","NaN"
"AAFI","20100503","9499500","46880000","3595","5","NaN","NaN","NaN","NaN"
"AALC","20040818","9430800","46400000","3403","5","NaN","NaN","NaN","NaN"
"AAMFLM","20091118","9430800","48520000","3085","5","NaN","NaN","NaN","NaN"
"AAPCMBA","19980817","9430800","40055010","3849","5","NaN","NaN","NaN","NaN"
"AAPG- ASSOCIACAO","20050819","9430800","48610000","3527","5","NaN","NaN","NaN","NaN"
"AAQALNA","20051123","9430800","44790000","3419","5","NaN","NaN","NaN","NaN"
"AASCEI","20010221","9430800","48850000","3641","5","NaN","NaN","NaN","NaN"
"AATICA","19890831","6821801","41810815","3849","1","NaN","NaN","NaN","NaN"
"AB2","20070321","8640208","48005140","3313","1","NaN","NaN","NaN","NaN"
"ABA TRANSFORMERSS","20110615","4520001","41295627","3849","1","NaN","NaN","NaN","NaN"
"ABABAS","19870407","9499500","41900540","3849","5","NaN","NaN","NaN","NaN"
"ABACAFE","20061024","9430800","47850000","1112","5","NaN","NaN","NaN","NaN"
"ABAETE DROGARIA E COSMETICOS","20100514","4771701","45260000","3803","3","NaN","NaN","NaN","NaN"
"ABAM","19980508","9430800","40020210","3849","5","NaN","NaN","NaN","NaN"
"ABAMU","19900424","9430800","47100000","3353","5","NaN","NaN","NaN","NaN"
"ABAPEQ","19881128","9430800","40110050","3849","5","NaN","NaN","NaN","NaN"
"ABARA E CIA DA ROSE","20111128","5611203","40365540","3849","1","NaN","NaN","NaN","NaN"
"ABAS","20021210","9430800","43900000","3883","5","NaN","NaN","NaN","NaN"
"ABASE","19730629","9430800","41750110","3849","5","NaN","NaN","NaN","NaN"
"ABATEDOURO ANTONIO FRAGA","19981008","4712100","44572090","3873","1","NaN","NaN","NaN","NaN"
"ABATEDOURO CANAA","20110121","4724500","48700000","3909","1","NaN","NaN","NaN","NaN"
"ABATEDOURO DE AVES COSTA","20120518","1012101","48330000","3841","1","NaN","NaN","NaN","NaN"
"ABATEDOURO DO POVO","20041222","4722901","45800000","3367","1","NaN","NaN","NaN","NaN"
"ABATEDOURO IRMAOS RONALDO","20110317","4712100","45807000","3855","1","NaN","NaN","NaN","NaN"
"ABATEDOURO NOSSA SENHORA DE FATIMA","19950720","4634601","44360000","3879","1","NaN","NaN","NaN","NaN"
"ABBY DESENVOLVIMENTO PROFISSIONAL","19940121","8599604","41820020","3849","1","NaN","NaN","NaN","NaN"
"ABC CONTABILIDADE","19910218","4761003","40020210","3849","1","NaN","NaN","NaN","NaN"
"ABC ELETRO","19890615","4754701","48903371","3669","5","NaN","NaN","NaN","NaN"
"ABC EMBALAGENS LTDA","20021230","4789099","42800047","3413","1","NaN","NaN","NaN","NaN"
"ABCCVRA","20050816","9430800","44635000","3997","5","NaN","NaN","NaN","NaN"
"ABCEGS","20090710","9430800","44600000","3581","5","NaN","NaN","NaN","NaN"
"ABD-RB","19990714","9412099","41940660","3849","5","NaN","NaN","NaN","NaN"
"ABECERV","19841231","9430800","44715000","3961","5","NaN","NaN","NaN","NaN"
"ABEL WALDEMIR DE LIMA COSTA","20110705","4520002","44135000","3515","1","NaN","NaN","NaN","NaN"
"ABELARDO IMOVEIS","20020202","6821801","41820021","3849","1","NaN","NaN","NaN","NaN"
"ABELHA VEICULOS","20040621","4511102","48970000","3901","1","NaN","NaN","NaN","NaN"
"ABELHEIS E COMPANNHIS COMIDA BAIANA","20070824","5620102","41620825","3849","1","NaN","NaN","NaN","NaN"
"ABELSA","19901011","9430800","48590000","3483","5","NaN","NaN","NaN","NaN"
"ABEMOJABA","20070716","9430800","48280000","3721","5","NaN","NaN","NaN","NaN"
"ABEPO","20091124","9430800","45028492","3965","5","NaN","NaN","NaN","NaN"
"ABESP","19920828","9430800","41770395","3849","5","NaN","NaN","NaN","NaN"
"ABFRUD","20090608","161099","48660000","3453","5","NaN","NaN","NaN","NaN"
"ABIATAR MODA FEMININA","20101005","4781400","41510000","3849","3","NaN","NaN","NaN","NaN"
"ABIB","19880725","8711502","44920000","3099","5","NaN","NaN","NaN","NaN"
"ABIDE","20010611","9430800","47810041","3363","5","NaN","NaN","NaN","NaN"
"ABIJCSUD","19991026","9491000","41820000","3849","5","NaN","NaN","NaN","NaN"
"ABMRB","19970922","9430800","45470000","3665","5","NaN","NaN","NaN","NaN"
"ABOA","19980519","9430800","44718000","3017","5","NaN","NaN","NaN","NaN"
"ABPI","20001207","9430800","45435000","3647","5","NaN","NaN","NaN","NaN"
"ABRE EMPREENDIMENTOS & PARTICIPACOES","20061127","7112000","40010020","3849","1","NaN","NaN","NaN","NaN"
"ABRIGO DRINK S DISTRIBUIDORA DE BEBIDAS E ALIMENTOS","20070718","4723700","48970000","3901","1","NaN","NaN","NaN","NaN"
"ABRMVG","20060201","9430800","44770000","3793","5","NaN","NaN","NaN","NaN"
"ABS - TRANSPORTES E COMERCIO","20090917","4930202","40445200","3849","1","NaN","NaN","NaN","NaN"
"ABS CONTABIL","20101110","6920601","44270000","3933","1","NaN","NaN","NaN","NaN"
"ABS DECORACOES","20090116","4744001","41720040","3849","1","NaN","NaN","NaN","NaN"
"ABSJ","20041103","9430800","48435000","3253","5","NaN","NaN","NaN","NaN"
"ABSOLUTA CENTRO ESTETICO","19810330","9602501","45820351","3117","1","NaN","NaN","NaN","NaN"
"ABSOLUTA SOLUCOES","20080319","6920601","41701015","3849","1","NaN","NaN","NaN","NaN"
"ABUMPA","19910125","9430800","44460000","3623","5","NaN","NaN","NaN","NaN"
"AC ACAJUTIBA","19771205","5310501","48360970","3305","5","NaN","NaN","NaN","NaN"
"AC AMARALINA","19740717","5310501","41900020","3849","5","NaN","NaN","NaN","NaN"
"AC ANDARAI","19740624","5310501","46830970","3325","5","NaN","NaN","NaN","NaN"
"AC ANDORINHA","19931103","5310501","48990000","3255","5","NaN","NaN","NaN","NaN"
"AC ANTAS","19740624","5310501","48420000","3331","5","NaN","NaN","NaN","NaN"
"AC APUAREMA","19931103","5310501","45355000","3257","5","NaN","NaN","NaN","NaN"
"AC ARATUIPE","19740624","5310501","44490000","3345","5","NaN","NaN","NaN","NaN"
"AC BARRO ALTO","19740711","5310501","44895970","3075","5","NaN","NaN","NaN","NaN"
"AC BOM JESUS DA LAPA","19740711","5310501","47600970","3377","5","NaN","NaN","NaN","NaN"
"AC BONINAL","19740711","5310501","46740970","3379","5","NaN","NaN","NaN","NaN"
"AC CABULA","19920412","5310501","41150000","3849","5","NaN","NaN","NaN","NaN"
"AC CANDEAL","19740624","5310501","48710000","3427","5","NaN","NaN","NaN","NaN"
"AC CENTRO ADMINISTRATIVO DA BAHIA","19750926","5310501","41745970","3849","5","NaN","NaN","NaN","NaN"
"AC COTEGIPE","19780309","5310501","47900000","3487","5","NaN","NaN","NaN","NaN"
"AC DARIO MEIRA","19750926","5310501","45590000","3499","5","NaN","NaN","NaN","NaN"
"AC GLORIA","19740709","5310501","48610000","3527","5","NaN","NaN","NaN","NaN"
"AC GUANAMBI","19740709","5310501","46430000","3533","5","NaN","NaN","NaN","NaN"
"AC GUARATINGA","19750926","5310501","45840000","3535","5","NaN","NaN","NaN","NaN"
"AC IBIPEBA","19740709","5310501","44970000","3547","5","NaN","NaN","NaN","NaN"
"AC IBOTIRAMA","19740705","5310501","47520000","3565","5","NaN","NaN","NaN","NaN"
"AC IGUAI","19740705","5310501","45280000","3571","5","NaN","NaN","NaN","NaN"
"AC INSTAL","20091207","3314710","45550000","3945","1","NaN","NaN","NaN","NaN"
"AC ITAGI","19740705","5310501","45230970","3603","5","NaN","NaN","NaN","NaN"
"AC ITAGUACU DA BAHIA","20031024","5310501","47440000","3281","5","NaN","NaN","NaN","NaN"
"AC ITAMARI","19771205","5310501","45455970","3615","5","NaN","NaN","NaN","NaN"
"AC ITINGA","20070814","5310501","42700130","3685","5","NaN","NaN","NaN","NaN"
"AC JUSSARI","19830721","5310501","45622970","3069","5","NaN","NaN","NaN","NaN"
"AC MALHADA DE PEDRAS","19740704","5310501","46110000","3707","5","NaN","NaN","NaN","NaN"
"AC MARAU","19740704","5310501","45520000","3715","5","NaN","NaN","NaN","NaN"
"AC MATA ESCURA","20090424","5310501","41225970","3849","5","NaN","NaN","NaN","NaN"
"AC MATINA","20020822","5310501","46480000","3295","5","NaN","NaN","NaN","NaN"
"AC MILAGRES","19740717","5310501","45315000","3727","5","NaN","NaN","NaN","NaN"
"AC MUNIZ FERREIRA","19740717","5310501","44575000","3745","5","NaN","NaN","NaN","NaN"
"AC NOVA REDENCAO","19931103","5310501","46835970","3011","5","NaN","NaN","NaN","NaN"
"AC PALMAS DE MONTE ALTO","19740717","5310501","46460000","3769","5","NaN","NaN","NaN","NaN"
"AC PINDAI","19740717","5310501","46360000","3791","5","NaN","NaN","NaN","NaN"
"AC PLANALTINO","19771205","5310501","45375000","3799","5","NaN","NaN","NaN","NaN"
"AC POJUCA","19740717","5310501","48120000","3805","5","NaN","NaN","NaN","NaN"
"AC QUEIMADAS","19740717","5310501","48860000","3817","5","NaN","NaN","NaN","NaN"
"AC RAFAEL JAMBEIRO","19870120","5310501","44520000","3985","5","NaN","NaN","NaN","NaN"
"AC RIO DO PIRES","19740717","5310501","46550000","3839","5","NaN","NaN","NaN","NaN"
"AC SANTA LUZIA","19861204","5310501","45865000","3987","5","NaN","NaN","NaN","NaN"
"AC SANTALUZ","19740717","5310501","48880000","3861","5","NaN","NaN","NaN","NaN"
"AC SAO FRANCISCO DO CONDE","19740717","5310501","43900000","3883","5","NaN","NaN","NaN","NaN"
"AC SAUBARA","19740717","5310501","44220970","3037","5","NaN","NaN","NaN","NaN"
"AC SENTO SE","19740717","5310501","47350000","3903","5","NaN","NaN","NaN","NaN"
"AC SERRA DOURADA","19740717","5310501","47740000","3905","5","NaN","NaN","NaN","NaN"
"AC SERROLANDIA","19790410","5310501","44710000","3911","5","NaN","NaN","NaN","NaN"
"AC SIMOES FILHO","19740717","5310501","43700000","3913","5","NaN","NaN","NaN","NaN"
"AC SUMARE","19931103","5310501","41820970","3849","5","NaN","NaN","NaN","NaN"
"AC TEOFILANDIA","19830721","5310501","48770000","3929","5","NaN","NaN","NaN","NaN"
"AC TRANSPORTES E TURISMO","20101214","4929902","40296190","3849","1","NaN","NaN","NaN","NaN"
"AC TREMEDAL","19740717","5310501","45170000","3935","5","NaN","NaN","NaN","NaN"
"AC VALENCA","19740717","5310501","45400000","3957","5","NaN","NaN","NaN","NaN"
"AC VARZEA DA ROCA","19870120","5310501","44635000","3997","5","NaN","NaN","NaN","NaN"
"AC XIQUE XIQUE","19740717","5310501","47400000","3971","5","NaN","NaN","NaN","NaN"
"ACA","19980806","9430800","46990000","3915","5","NaN","NaN","NaN","NaN"
"ACAAJA","19980514","9430800","44700000","3651","5","NaN","NaN","NaN","NaN"
"ACAAR","20030930","9430800","48850000","3641","5","NaN","NaN","NaN","NaN"
"ACAC","20020524","9430800","44750000","3409","5","NaN","NaN","NaN","NaN"
"ACACV","20070711","9430800","48800000","3731","5","NaN","NaN","NaN","NaN"
"ACADEMIA ACAO","20090924","9313100","40720272","3849","1","NaN","NaN","NaN","NaN"
"ACADEMIA AUTO ESTIMA","20111230","9313100","44700000","3651","1","NaN","NaN","NaN","NaN"
"ACADEMIA BELLA FORMA","19961125","9602502","47850000","1112","1","NaN","NaN","NaN","NaN"
"ACADEMIA BELLA VITA","20080411","8591100","41940426","3849","1","NaN","NaN","NaN","NaN"
