"nome_fantasia","data_inicio_atividades","cnae_fiscal","cep","municipio","porte","dist_1","dist_2","dist_3","dist_4"
"PREPARA CURSOS","20120330","8593700","40440360","3849","1","NaN","NaN","NaN","NaN"
"PREPARACAO","20071105","8550302","42800970","3413","1","NaN","NaN","NaN","NaN"
"PREPARACAO DE TERRENO","20090319","161003","46430000","3533","1","NaN","NaN","NaN","NaN"
"PRESENTE COM ARTE","20110222","4781400","45028610","3965","1","NaN","NaN","NaN","NaN"
"PRESENTES ESTRELAS","20030527","4772500","45305000","3505","1","NaN","NaN","NaN","NaN"
"PRESENTES PARA O LAR","20111223","6209100","40140080","3849","1","NaN","NaN","NaN","NaN"
"PRESERV","20020418","8299799","46400000","3403","5","NaN","NaN","NaN","NaN"
"PRESERV COMERCIO E SERVICOS","20090417","4744099","47560000","3389","1","NaN","NaN","NaN","NaN"
"PRESIDENTE DUTRA PREFEITURA GABINETE DO PREFEITO","19741224","8411600","44930000","3813","5","NaN","NaN","NaN","NaN"
"PRESMOL","20060106","4120400","46100000","3391","3","NaN","NaN","NaN","NaN"
"PRESMONTE","20050622","810006","45980000","3811","1","NaN","NaN","NaN","NaN"
"PRESTACON","19960814","4120400","45935000","3741","1","NaN","NaN","NaN","NaN"
"PRESTADORA DE SERVICOS","20140703","4399103","40320590","3849","1","NaN","NaN","NaN","NaN"
"PRESTADORA DE SERVIOS FREITAS","20040308","5611201","47650000","3485","1","NaN","NaN","NaN","NaN"
"PRESTO","19971017","8650001","45545000","3943","5","NaN","NaN","NaN","NaN"
"PRESTSERV","20110627","6920602","45436000","3019","1","NaN","NaN","NaN","NaN"
"PRESTSUL OBRAS E URBANIZACAO","20100820","4213800","45607082","3597","1","NaN","NaN","NaN","NaN"
"PRETO & BRANCO CAFE","20080815","5611201","40015070","3849","1","NaN","NaN","NaN","NaN"
"PRETTY CALCADOS","20010120","1531901","42700130","3685","3","NaN","NaN","NaN","NaN"
"PREV CENTER","20020523","8640205","40375017","3849","3","NaN","NaN","NaN","NaN"
"PREVCLIN","20120515","8630503","45990289","3993","1","NaN","NaN","NaN","NaN"
"PREVCLUB","20050307","7490104","41815320","3849","1","NaN","NaN","NaN","NaN"
"PREVCON","20000417","7119704","45990009","3993","1","NaN","NaN","NaN","NaN"
"PREVENIR","20020205","8630502","45700000","3629","1","NaN","NaN","NaN","NaN"
"PREVENTIVA COMERCIO E SERVICOS DE INFORMATICA","20051003","4751201","41635475","3849","1","NaN","NaN","NaN","NaN"
"PREVI AUDIO EXAMES AUDIOLOGICOS","20080324","4773300","46400000","3403","1","NaN","NaN","NaN","NaN"
"PRIMAVERA","20080723","4712100","48120000","3805","1","NaN","NaN","NaN","NaN"
"PRIMAVERA JOIAS","20101026","4783101","44380000","3495","1","NaN","NaN","NaN","NaN"
"PRIME CONSULTORIA E ACESSORIA","20110311","6822600","45400000","3957","1","NaN","NaN","NaN","NaN"
"PRIME CONSULTORIA E PLANEJAMENTO EMPRESARIAL","20111117","4520001","42701420","3685","1","NaN","NaN","NaN","NaN"
"PRIME EMPREENDIMENTOS","19871125","4110700","44077040","3515","1","NaN","NaN","NaN","NaN"
"PRIME ODONTOLOGIA","20140523","8630504","47630000","3039","1","NaN","NaN","NaN","NaN"
"PRIME SERVICOS E CONSULTORIAS","19930820","8211300","45545000","3943","1","NaN","NaN","NaN","NaN"
"PRIME TRANSPORTES","20110427","4930202","41195550","3849","1","NaN","NaN","NaN","NaN"
"PRIMEIRA IGREJA","19770923","9491000","45450000","3523","5","NaN","NaN","NaN","NaN"
"PRIMEIRA IGREJA BATISTA DE AMARGOSA","19770706","9491000","45300000","3319","5","NaN","NaN","NaN","NaN"
"PRIMEIRA IGREJA BATISTA DE CAPIM GROSSO","19830616","9491000","44695000","3083","5","NaN","NaN","NaN","NaN"
"PRIMEIRA IGREJA BATISTA DO RESGATE","20051129","9491000","41152110","3849","5","NaN","NaN","NaN","NaN"
"PRIMEIRA IGREJA BATISTA EM APUAREMA","20080121","9491000","45355000","3257","5","NaN","NaN","NaN","NaN"
"PRIMEIRA IGREJA BATISTA MISSIONARIA DE LUIS EDUARDO MAG","20110728","9491000","47850000","1112","5","NaN","NaN","NaN","NaN"
"PRIMEIRA IGREJA BATISTA NO KM 100","19940615","9491000","45325000","3385","5","NaN","NaN","NaN","NaN"
"PRIMEIRA OPCAO","20060410","4781400","48990000","3255","1","NaN","NaN","NaN","NaN"
"PRIMEIRO CARTORIO DE PROTESTO DE TITULOS","20120130","6912500","47800121","3363","5","NaN","NaN","NaN","NaN"
"PRIMEIRO PISO REVESTIMENTOS CERAMICOS","20100319","4744099","40355025","3849","3","NaN","NaN","NaN","NaN"
"PRIMEIROS PASSOS","20050128","8511200","44001336","3515","1","NaN","NaN","NaN","NaN"
"PRIMMA SERVICOS","20021127","8111700","42701850","3685","5","NaN","NaN","NaN","NaN"
"PRIMO RH","20120420","8599604","44245000","3469","1","NaN","NaN","NaN","NaN"
"PRIMORE CONSULTORIA","20100621","8599604","45600220","3597","1","NaN","NaN","NaN","NaN"
"PRIMOS GAS E AGUA","20090310","4784900","48770000","3929","1","NaN","NaN","NaN","NaN"
"PRIMOS LTDA","20030507","4120400","45465000","3931","1","NaN","NaN","NaN","NaN"
"PRIMOS MOVEIS","20100811","4754701","45180000","3323","1","NaN","NaN","NaN","NaN"
"PRINCESA","20120515","4721102","48960000","3655","1","NaN","NaN","NaN","NaN"
"PRINCESA TELECOM","20100412","4752100","44002584","3515","1","NaN","NaN","NaN","NaN"
"PRINCESINHA COMERCIO DE PECAS","20070416","4530704","44002753","3515","1","NaN","NaN","NaN","NaN"
"PRINCIPAL MOTOS E TRANSANGELO","19981223","4541206","47850000","1112","1","NaN","NaN","NaN","NaN"
"PRINCIPE DAS CAPAS","20090813","4757100","44001784","3515","1","NaN","NaN","NaN","NaN"
"PRINCIPIOS & PRINCIPIOS","20081217","6920601","41195000","3849","1","NaN","NaN","NaN","NaN"
